batter,balls,strikes,outs_when_up,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_class,home,half_inning,year,month,day,base_runner_class,if_alignment_class,of_alignment_class
656541,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,37,1,0,1,0,1,2,0,10,2021,4,17,2,3,1
658069,0,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,36,2,0,1,0,1,1,0,10,2021,4,17,1,1,1
658069,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,36,1,0,1,0,1,1,0,10,2021,4,17,1,1,1
543068,1,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,32,4,0,1,0,1,1,0,8,2021,4,17,1,3,2
543068,1,1,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,32,3,0,1,0,1,1,0,8,2021,4,17,1,3,1
543068,0,1,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,32,2,0,1,0,1,1,0,8,2021,4,17,1,3,2
543068,0,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,32,1,0,1,0,1,1,0,8,2021,4,17,1,3,1
453568,2,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,31,6,0,1,0,1,2,0,8,2021,4,17,1,3,1
453568,2,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,31,5,0,1,0,1,2,0,8,2021,4,17,1,3,1
453568,1,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,31,4,0,1,0,1,2,0,8,2021,4,17,1,3,1
453568,0,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,31,3,0,1,0,1,2,0,8,2021,4,17,1,3,1
453568,0,1,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,31,2,0,1,0,1,2,0,8,2021,4,17,1,3,1
453568,0,0,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,31,1,0,1,0,1,2,0,8,2021,4,17,1,3,2
596115,1,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,30,4,0,1,0,1,1,0,8,2021,4,17,1,3,1
596115,1,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,30,3,0,1,0,1,1,0,8,2021,4,17,1,3,1
596115,0,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,30,2,0,1,0,1,1,0,8,2021,4,17,1,3,1
596115,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,30,1,0,1,0,1,1,0,8,2021,4,17,1,3,1
641857,0,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,25,4,0,1,0,1,2,0,6,2021,4,17,1,3,1
641857,0,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,25,3,0,1,0,1,2,0,6,2021,4,17,1,3,1
